"Continent","Country","Status","...4"
"Europe","Austria","Fully implemented","[1]"
"Europe","Belgium","Fully implemented","[2]"
"Europe","Bulgaria","Fully implemented","[3]"
"Europe","Croatia","Fully implemented","[4]"
"Europe","Cyprus","Fully implemented","[5]"
"Europe","Czech Republic","Fully implemented","[6]"
"Europe","Denmark","Fully implemented","[7]"
"Europe","Estonia","Fully implemented","[8]"
"Europe","Finland","Fully implemented","[9]"
"Europe","France","Fully implemented","[10]"
"Europe","Germany","Fully implemented","[11]"
"Europe","Greece","Fully implemented","[12]"
"Europe","Hungary","Fully implemented","[13]"
"Europe","Ireland","Fully implemented","[14]"
"Europe","Italy","Fully implemented","[15]"
"Europe","Latvia","Fully implemented","[17]"
"Europe","Lithuania","Fully implemented","[18]"
"Europe","Luxembourg","Fully implemented","[19]"
"Europe","Malta","Fully implemented","[20]"
"Europe","Poland","Fully implemented","[21]"
"Europe","Portugal","Fully implemented","[22]"
"Europe","Romania","Fully implemented","[23]"
"Europe","Slovakia","Fully implemented","[24]"
"Europe","Slovenia","Fully implemented","[25]"
"Europe","Spain","Fully implemented","[26]"
"Europe","Sweden","Fully implemented","[27]"
"Europe","Netherlands","Fully implemented","[28]"
"Europe","Albania","Not fully implemented",NA
"Europe","Iceland","Fully implemented","[29]"
"Europe","Macedonia","Fully implemented",NA
"Europe","Moldova","Fully implemented",NA
"Europe","Montenegro","Fully implemented","[30]"
"Europe","Norway","Fully implemented",NA
"Europe","Serbia","Not fully implemented",NA
"Europe","Switzerland","Fully implemented","[31]"
"Europe","Turkey","Fully implemented",NA
"Europe","United Kingdom","Fully implemented","[32]"
"Oceania","Australia","Only export regulations","[33]"
"Asia","Bangladesh","Not fully implemented",NA
"Asia","Singapore","Only export regulations","[70]"
"Asia","Bhutan","Not fully implemented",NA
"Asia","China","Fully implemented",NA
"Asia","India","Fully implemented","[34]"
"Asia","Cambodia","Fully implemented",NA
"Asia","Israel","Fully implemented",NA
"Asia","Japan","Fully implemented","[35]"
"Oceania","New Zealand","Only export regulations",NA
"Asia","Philippines","Not fully implemented",NA
"Asia","South Korea","Fully implemented",NA
"Asia","Taiwan","Fully implemented",NA
"Asia","Thailand","Fully implemented","[36]"
"South America","Argentina","Fully implemented",NA
"South America","Bolivia","Not fully implemented","[37]"
"South America","Brazil","Fully implemented","[38]"
"North America","Canada","Fully implemented","[39]"
"South America","Chile","Fully implemented",NA
"North America","Costa Rica","Not fully implemented","[40]"
"North America","Dominican Republic","Not fully implemented",NA
"South America","Ecuador","Fully implemented","[41]"
"North America","El Salvador","Not fully implemented","[42]"
"North America","Honduras","Fully implemented","[43]"
"North America","Mexico","Fully implemented","[44]"
"South America","Paraguay","Not fully implemented",NA
"South America","Peru","Not fully implemented",NA
"North America","United States of America","Fully implemented","[45]"
"Africa","Ghana","Not fully implemented",NA
"Africa","Tunisia","Fully implemented",NA
"Europe","Bosnia Herzegovina","Regulations in development",NA
"Europe","Russia","Fully implemented",NA
"Europe","Ukraine","Regulations in development",NA
"Asia","Armenia","Regulations in development",NA
"Asia","Azerbaijan","Regulations in development",NA
"Asia","Georgia","Regulations in development","[2]"
"Asia","Hong Kong","Regulations in development",NA
"Asia","Indonesia","Regulations in development",NA
"Asia","Lebanon","Regulations in development",NA
"Asia","Saudi Arabia","Regulations in development",NA
"Asia","Vietnam","Regulations in development",NA
"North America","Cuba","Regulations in development",NA
"North America","Nicaragua","Regulations in development",NA
"North America","St. Lucia","Regulations in development",NA
"Africa","Cameroon","Regulations in development",NA
"Africa","Egypt","Regulations in development",NA
"Africa","Madagascar","Regulations in development",NA
"Africa","South Africa","Regulations in development","[3]"
